id,name,party,last_check,x_handle,x_last_post,bluesky_handle,bluesky_last_post,mastodon_handle,mastodon_last_post
Q1780908,Arbetsmarknadsdepartementet,,2026-02-01T16:50:43.430267+00:00,arbetsmarkdep,2026-01-15T11:58:52+00:00,,,,
Q1774229,Finansdepartementet,,2026-02-01T16:50:43.430267+00:00,FinansdepSv,2026-01-27T13:35:33+00:00,,,,
Q2982160,Försvarsdepartementet,,2026-02-01T16:50:43.430267+00:00,ForsvarsdepSv,2026-01-15T16:45:23+00:00,,,,
Q60970996,Infrastrukturdepartementet,,2026-02-01T16:50:43.430267+00:00,infradep,protected,,,,
Q2612011,Justitiedepartementet,,2026-02-01T16:50:43.430267+00:00,Justitiedep,2026-01-30T14:51:59+00:00,,,,
Q116035262,Klimat- och näringslivsdepartementet,,,,,,,,
Q2611987,Socialdepartementet,,2026-02-01T16:50:43.430267+00:00,socialdep,2025-12-10T15:32:11+00:00,,,,
Q4294535,Utbildningsdepartementet,,2026-02-01T16:50:43.430267+00:00,Utbdep,2025-06-30T14:15:11+00:00,,,,
Q776570,Utrikesdepartementet,,2026-02-01T16:50:43.430267+00:00,SweMFA,2026-02-01T10:44:55+00:00,,,,
Q2611994,kulturdepartementet,,2026-02-01T16:50:43.430267+00:00,KulturdepSv,2025-11-06T15:54:47+00:00,,,,
