id,name,party,last_check,x_handle,x_last_post,bluesky_handle,bluesky_last_post,mastodon_handle,mastodon_last_post
Q5602835,Andreas Carlson,Kristdemokraterna,2026-02-01T16:50:06.746167+00:00,andreas_carlson,2026-02-01T14:40:13+00:00,,,,
Q4767537,Anna Tenje,Moderaterna,2026-01-30T18:34:26.146447+00:00,AnnaTenje,2019-05-15T10:47:09+00:00,,,,
Q5624180,Benjamin Dousa,Moderaterna,2026-02-01T16:50:06.746167+00:00,benjamindousa,2026-01-30T08:32:40+00:00,,,,
Q4990177,Camilla Waltersson Grönvall,Moderaterna,2026-02-01T16:50:06.746167+00:00,CamillaWalterss,2025-10-07T07:55:38+00:00,,,,
Q5580727,Carl-Oskar Bohlin,Moderaterna,2026-02-01T16:50:06.746167+00:00,CarlOskar,2026-01-30T17:03:30+00:00,,,,
Q4941329,Ebba Busch,Kristdemokraterna,2026-02-01T16:50:06.746167+00:00,buschebba,2026-01-30T14:59:15+00:00,,,,
Q4981393,Elisabeth Svantesson,Moderaterna,2026-02-01T16:50:06.746167+00:00,ElisabethSvan,2026-01-28T15:56:03+00:00,,,,
Q6181121,Erik Slottner,Kristdemokraterna,2026-02-01T16:50:06.746167+00:00,ErikSlottner,2026-02-01T14:55:00+00:00,,,,
Q6193547,Gunnar Strömmer,Moderaterna,,,,,,,
Q5737841,Jakob Forssmed,Kristdemokraterna,2026-02-01T16:50:06.746167+00:00,jakobforssmed,2026-02-01T09:29:43+00:00,,,,
Q5737622,Johan Forssell,Moderaterna,2026-02-01T16:50:06.746167+00:00,JohanForssell,2026-02-01T09:28:11+00:00,,,,
Q6039678,Johan Pehrson,Liberalerna,2026-02-01T16:50:06.746167+00:00,JohanPehrson,2025-10-15T08:35:05+00:00,,,,
Q4945706,Lotta Edholm,Liberalerna,,lottaedholm,closed,,,,
Q6043377,Mats Persson,Liberalerna,2026-02-01T16:50:06.746167+00:00,matsperspektiv,2026-01-13T07:59:07+00:00,,,,
Q6247957,Niklas Wykman,Moderaterna,2026-02-01T16:50:06.746167+00:00,NiklasWykman,2026-01-31T10:49:29+00:00,,,,
Q40321803,Parisa Liljestrand,Moderaterna,,,,,,,
Q5925995,Peter Kullgren,Kristdemokraterna,2026-02-01T16:50:06.746167+00:00,peterkullgren,2026-02-01T09:03:44+00:00,,,,
Q27299991,Pål Jonson,Moderaterna,2026-02-01T16:50:06.746167+00:00,PlJonson,2026-01-29T08:00:41+00:00,,,,
Q66493422,Romina Pourmokhtari,Liberalerna,2026-02-01T16:50:06.746167+00:00,RPourmokhtari,2025-11-24T12:58:09+00:00,,,,
Q1780398,Ulf Kristersson,Moderaterna,2026-02-01T16:50:06.746167+00:00,UlfKristersson,,,,,
