id,name,party,last_check,x_handle,x_last_post,bluesky_handle,bluesky_last_post,mastodon_handle,mastodon_last_post
Q498470,Ale kommun,,2026-02-07T04:32:45.986604+00:00,alekommun,2018-03-09T08:20:03+00:00,,,,
Q503162,Alingsås kommun,,2026-02-07T04:32:45.986604+00:00,alingsaskommun,closed,,,,
Q10405300,Alingsås tingsrätt,,,,,,,,
Q10405389,Alkoholsortimentsnämnden,,,,,,,,
Q6971047,Allmänna reklamationsnämnden,,,,,,,,
Q182007,Alvesta kommun,,2026-02-07T04:32:45.986604+00:00,alvestakommun,2018-05-15T09:30:28+00:00,,,,
Q33075484,Andra AP-fonden,,,,,,,,
Q503167,Aneby kommun,,,,,,,,
Q10413037,Ansvarsnämnden för djurens hälso- och sjukvård,,,,,,,,
Q3440237,Arbetsförmedlingen,,2026-02-07T04:32:45.986604+00:00,Arbetsformed,2024-07-11T15:00:02+00:00,,,,
Q10416948,Arbetsgivarverket,,2026-02-07T04:32:45.986604+00:00,arbetsgivarverk,2023-03-09T10:28:03+00:00,,,,
Q1780908,Arbetsmarknadsdepartementet,,2026-02-07T04:32:45.986604+00:00,arbetsmarkdep,2026-02-06T14:39:46+00:00,,,,
Q10416979,Arbetsmiljöverket,,2026-02-07T04:32:45.986604+00:00,arbetsmiljo,2024-06-12T13:31:21+00:00,,,,
Q431271,Arboga kommun,,,,,,,,
Q493855,Arjeplogs kommun,,,,,,,,
Q80224507,Arvfondsdelegationen,,,,,,,,
Q499404,Arvidsjaurs kommun,,,,,,,,
Q511365,Arvika kommun,,2026-02-07T04:32:45.986604+00:00,arvikakommun,closed,,,,
Q509501,Askersunds kommun,,,,,,,,
Q10422213,Attunda tingsrätt,,,,,,,,
Q500071,Avesta kommun,,2026-02-07T04:32:45.986604+00:00,avestakommun,2024-05-27T08:53:52+00:00,,,,
Q6305559,Barnombudsmannen,,2026-02-07T04:32:45.986604+00:00,barnombudsman,2023-08-21T11:05:07+00:00,,,,
Q267462,Bengtsfors kommun,,,,,,,,
Q845930,Bergs kommun,,2026-02-07T04:32:45.986604+00:00,bergskommun,closed,,,,
Q19977508,"Birgittaskolan, Örebro",,,,,,,,
Q376003,Bjurholms kommun,,,,,,,,
Q511310,Bjuvs kommun,,,,,,,,
Q1163548,Blekinge tekniska högskola,,2026-02-07T04:32:45.986604+00:00,bthinformation,closed,,,,
Q10431242,Blekinge tingsrätt,,,,,,,,
Q509476,Bodens kommun,,2026-02-07T04:32:45.986604+00:00,narhetsliv,2021-12-03T09:57:15+00:00,,,,
Q10432198,Bokföringsnämnden,,,,,,,,
Q891249,Bolagsverket,,2026-02-07T04:32:45.986604+00:00,Bolagsverket,2022-08-16T19:45:47+00:00,,,,
Q503102,Bollebygds kommun,,,,,,,,
Q62469,Bollnäs kommun,,,,,,,,
Q509546,Borgholms kommun,,,,,,,,
Q503209,Borlänge kommun,,,,,,,,
Q894327,Borås kommun,,2026-02-07T04:32:45.986604+00:00,borasstad,2023-08-21T11:00:50+00:00,,,,
Q10433405,Borås tingsrätt,,,,,,,,
Q113718,Botkyrka kommun,,,,,,,,
Q895355,Boverket,,2026-02-07T04:32:45.986604+00:00,Boverket,closed,,,,
Q509514,Boxholms kommun,,,,,,,,
Q514830,Bromölla kommun,,2026-02-07T04:32:45.986604+00:00,Bromollakommun,2016-07-08T18:06:23+00:00,,,,
Q10436166,Brottsförebyggande rådet,,2026-02-07T04:32:45.986604+00:00,myndigheten_bra,closed,,,,
Q5185227,Brottsoffermyndigheten,,,,,,,,
Q504261,Bräcke kommun,,,,,,,,
Q186662,Burlövs kommun,,2026-02-07T04:32:45.986604+00:00,Burlov_info,closed,,,,
Q499464,Båstads kommun,,,,,,,,
Q10444871,Centrala djurförsöksetiska nämnden,,,,,,,,
Q6971083,Centrala studiestödsnämnden,,2026-02-07T04:32:45.986604+00:00,csnstudiestod,2017-02-17T17:57:37+00:00,,,,
Q503132,Dals-Eds kommun,,2026-02-07T04:32:45.986604+00:00,DalsEdsKommun,2019-01-16T07:15:36+00:00,,,,
Q113679,Danderyds kommun,,2026-02-07T04:32:45.986604+00:00,DanderydsKommun,,,,,
Q509469,Degerfors kommun,,2026-02-07T04:32:45.986604+00:00,Degerforskommun,2014-12-15T19:15:14+00:00,,,,
Q80224509,Delegationen för folkrättslig granskning av vapenprojekt,,,,,,,,
Q2858096,Diskrimineringsombudsmannen,,2026-02-07T04:32:45.986604+00:00,DO_Sverige,2024-01-18T09:46:57+00:00,,,,
Q10475766,Domarnämnden,,,,,,,,
Q10475844,Domstolsverket,,2026-02-07T04:32:45.986604+00:00,dv_press,2024-02-09T13:14:52+00:00,,,,
Q132334,Dorotea kommun,,2026-02-07T04:32:45.986604+00:00,DoroteaKommun,2015-06-03T18:45:52+00:00,,,,
Q15694964,E-hälsomyndigheten,,2026-02-07T04:32:45.986604+00:00,ehalsan,2023-01-13T21:58:33+00:00,,,,
Q498447,Eda kommun,,,,,,,,
Q492614,Ekerö kommun,,2026-02-07T04:32:45.986604+00:00,Ekero_kommun,,,,,
Q3357871,Ekobrottsmyndigheten,,2026-02-07T04:32:45.986604+00:00,ekobrottsmyndig,2026-02-03T13:54:47+00:00,,,,
Q512035,Eksjö kommun,,2026-02-07T04:32:45.986604+00:00,eksjokommun,,,,,
Q10480779,Eksjö tingsrätt,,,,,,,,
Q10482004,Elsäkerhetsverket,,2026-02-07T04:32:45.986604+00:00,elsakerhet,2024-04-03T05:09:57+00:00,,,,
Q509452,Emmaboda kommun,,2026-02-07T04:32:45.986604+00:00,emmabodakommun,2023-07-06T12:14:00+00:00,,,,
Q10484100,Energimarknadsinspektionen,,2026-02-07T04:32:45.986604+00:00,ei_sverige,2023-02-28T12:26:07+00:00,,,,
Q10484099,Energimyndigheten,,2026-02-07T04:32:45.986604+00:00,energi_mynd,2022-10-12T08:28:26+00:00,,,,
Q509568,Enköpings kommun,,2026-02-07T04:32:45.986604+00:00,enkopingskommun,2016-08-09T09:15:16+00:00,,,,
Q503144,Eskilstuna kommun,,2026-02-07T04:32:45.986604+00:00,etunakommun,2023-01-19T13:00:16+00:00,,,,
Q10489099,Eskilstuna tingsrätt,,,,,,,,
Q1130264,Eslövs kommun,,,,,,,,
Q503127,Essunga kommun,,2026-02-07T04:32:45.986604+00:00,EssungaKommun,,,,,
Q60942149,Etikprövningsmyndigheten,,,,,,,,
Q6972528,Exportkreditnämnden,,2026-02-07T04:32:45.986604+00:00,eknexport,2024-05-31T09:20:31+00:00,,,,
Q47018,Fagersta kommun,,2026-02-07T04:32:45.986604+00:00,fagerstakommun,closed,,,,
Q508168,Falkenbergs kommun,,2026-02-07T04:32:45.986604+00:00,FBGskommun,2018-02-02T06:58:15+00:00,,,,
Q503214,Falköpings kommun,,,,,,,,
Q501545,Falu kommun,,,,,,,,
Q10493897,Falu tingsrätt,,,,,,,,
Q4931380,Fastighetsmäklarinspektionen,,,,,,,,
Q10494944,Fideikommissnämnden,,2026-02-07T04:32:45.986604+00:00,fideikommiss,2015-06-29T16:17:20+00:00,,,,
Q503204,Filipstads kommun,,,,,,,,
